target_index,target_wavelength_nm,target_peak_count,hybrid_fallback_used,hybrid_nominal_valid,hybrid_robust_valid,n_H_at_target,n_L_at_target,quarter_wave_d_H0_nm,quarter_wave_d_L0_nm,hybrid_delta_d_H_vs_quarter_wave_nm,hybrid_delta_d_L_vs_quarter_wave_nm,hybrid_rel_delta_d_H_vs_quarter_wave,hybrid_rel_delta_d_L_vs_quarter_wave,hybrid_cavity_order_nearest,hybrid_cavity_lc0_for_nearest_order_nm,hybrid_delta_L_c_vs_nearest_fp_order_nm,hybrid_cavity_optical_phase_order,hybrid_bragg_center_from_H_nm,hybrid_bragg_center_from_L_nm,hybrid_bragg_center_mean_nm,hybrid_bragg_center_offset_from_target_nm,delta_d_H_vs_dataset_nm,delta_d_L_vs_dataset_nm,delta_L_c_vs_dataset_nm,abs_delta_d_H_vs_dataset_nm,abs_delta_d_L_vs_dataset_nm,abs_delta_L_c_vs_dataset_nm,relative_delta_d_H_vs_dataset,relative_delta_d_L_vs_dataset,relative_delta_L_c_vs_dataset,hybrid_peak_shift_nm,hybrid_yield_r60,baseline_peak_shift_nm,baseline_yield_r60
20814,3659.30029296875,1,True,True,True,3.8311203503618967,1.3801645450054991,238.78787132222848,662.8376859503679,-47.80230613668161,9.172201744944573,-0.20018732891242852,0.01383777950373113,1,1325.6753719007359,-66.86860920542335,0.9495588357279746,2926.754741630869,3709.93688356079,3318.3458125958296,-340.95448037292044,-36.02374267578125,91.69525146484375,-0.4920654296875,36.02374267578125,91.69525146484375,0.4920654296875,-0.15868839482910924,0.15800954471950882,-0.00039074556308461584,12.01171875,0.6833333333333333,0.0,0.8
71950,4163.748046875,1,False,True,True,3.8167860950151584,1.3604922731701843,272.72605427855814,765.1179152184269,23.267628582769987,-64.83513933952065,0.08531501929406714,-0.08473875470686297,2,3060.4716608737076,-101.4465143893326,1.9337053071353245,4518.978291829775,3810.9172224696795,4164.947757149727,1.1997102747272947,-4.164520263671875,23.90203857421875,-123.823486328125,4.164520263671875,23.90203857421875,123.823486328125,-0.013874417624820244,0.035338142049204546,-0.040165282528049434,18.01806640625,0.6333333333333333,0.0,0.8666666666666667
51988,4833.39453125,4,False,True,True,3.7977670416676097,1.3277376789306234,318.1734475956458,910.0808480374822,15.200331701229175,-10.605689346075906,0.047773727871053155,-0.011653568327414253,1,1820.1616960749643,93.09318673753569,1.0511455586271725,5064.303806279375,4777.068237826727,4920.686022053051,87.29149080305069,-11.99664306640625,31.25830078125,32.2216796875,11.99664306640625,31.25830078125,32.2216796875,-0.0347355832740867,0.036002872434993234,0.01712977720646794,7.507568359375,0.8333333333333334,5.505615234375,0.8166666666666667
37893,4369.86279296875,3,False,True,False,3.796122425183447,1.3508189388562888,287.78463281236094,808.7432496076464,-3.6025039061109396,31.170568751728638,-0.012518055154320265,0.03854198321513128,2,3234.9729984305854,-32.97812538371045,1.9796114988287632,4315.160609509555,4538.285971387779,4426.723290448666,56.860497479916376,-0.240478515625,-7.98883056640625,7.54150390625,0.240478515625,7.98883056640625,7.54150390625,-0.0008454971909750685,-0.009421872400714165,0.002360812018451477,17.350748697916668,0.06666666666666667,16.683430989583332,0.08333333333333333
12613,4765.20068359375,5,False,True,True,3.799455279321671,1.3310852844405425,313.5449908785672,894.9841041921991,-20.046211581692205,34.275661432800916,-0.06393408335282862,0.0382975086062983,1,1789.9682083843982,-113.64289100158567,0.936511223791981,4460.54194589591,4947.69599778442,4704.118971840166,-61.081711753584386,-14.342559814453125,35.06512451171875,-7.2984619140625,14.342559814453125,35.06512451171875,7.2984619140625,-0.046590753067333374,0.03921419666311388,-0.004334971983533356,3.203173828125,0.8,4.40439453125,0.7833333333333333
60910,4123.48291015625,3,False,False,False,3.8192501216226282,1.3620632368025247,269.91443207733454,756.8449831735094,8.671871633602962,87.72282688508437,0.03212822510771984,0.11590593692945654,3,4541.0698990410565,-179.8277115410565,2.881199112408049,4255.963097321586,4601.419060270512,4428.69107879605,305.2081686397996,-9.009490966796875,61.819091796875,-240.7119140625,9.009490966796875,61.819091796875,240.7119140625,-0.031326921789285776,0.07897693136331047,-0.05230645694201321,2.002197265625,0.0,1.0009765625,0.0
188,4233.25341796875,1,True,True,False,3.8117770060369316,1.3578023369833097,277.64303966787026,779.4310892434386,-3.779198380016169e-06,-62.35449012234483,-1.361171662915456e-08,-0.08000000382698327,1,1558.8621784868772,-124.70898024468966,0.9199999961730168,4233.253360346904,3894.59312833066,4063.923244338782,-169.33017362996816,11.2442626953125,-60.66510009765625,-1757.4625244140625,11.2442626953125,60.66510009765625,1757.4625244140625,0.042208387675836304,-0.07800160407831418,-0.5506497890514837,0.0,0.21666666666666667,34.0341796875,0.05
92705,3736.083740234375,1,True,True,True,3.8275448946020396,1.377414650176031,244.02612138549625,678.0971401307715,21.196473829347497,45.7752353575097,0.08686149543746063,0.067505424589583,1,1356.194280261543,24.5673164181444,1.0181148945808904,4060.6055609907144,3988.289659421134,4024.4476102059243,288.3638699715493,-0.793426513671875,-48.11346435546875,122.7696533203125,0.793426513671875,48.11346435546875,122.7696533203125,-0.0029826267926133096,-0.062324283519509784,0.09759176437367728,6.005859375,0.8666666666666667,nan,0.0
68828,4026.1572265625,2,False,False,False,3.824610234247546,1.3661080547056053,263.1743484937496,736.7933328359835,8.357847551172256,-22.805356761764756,0.0317578350588023,-0.030952175793970468,2,2947.173331343934,324.893807327941,2.220478248681619,4154.019263684477,3901.538900311773,4027.7790819981246,1.6218554356246386,47.66401672363281,-69.03533935546875,-20.975830078125,47.66401672363281,69.03533935546875,20.975830078125,0.2129110839608286,-0.0881651133435092,-0.006369740776898267,0.0,0.0,2.001953125,0.0
16293,4759.0078125,4,False,True,True,3.7989868689039983,1.3314160608087178,313.17611620706697,893.5989193358015,-13.783660152379468,73.27760654310475,-0.044012488306311125,0.08200279225669933,2,3574.395677343206,-217.799485936956,1.8781335332752847,4549.552036802701,5149.259741496447,4849.405889149573,90.39807664957334,0.512176513671875,-2.633544921875,-70.750244140625,0.512176513671875,2.633544921875,70.750244140625,0.0017136510794837788,-0.0027163667518170127,-0.02064286335540397,9.00897216796875,0.8333333333333334,5.50543212890625,0.9
41175,3245.57666015625,1,False,True,True,3.874501948947987,1.3934127025742187,209.41895906372534,582.307139543135,22.8826614196731,35.19127354280249,0.10926738210321253,0.06043421272562924,1,1164.61427908627,-139.03566580502002,0.8806165540799444,3600.212325226811,3441.72053045347,3520.9664278401406,275.38976768389057,13.82586669921875,-13.04547119140625,-23.7103271484375,13.82586669921875,13.04547119140625,23.7103271484375,0.0632833001362548,-0.020689235938522274,-0.02259656633636874,4.00390625,0.6666666666666666,18.01806640625,0.45
19847,4477.85009765625,3,False,True,False,3.7826713415659854,1.3456260553326278,295.9449614648829,831.926908651706,42.56941231441397,-23.043913046237208,0.14384232832923324,-0.027699444273997825,1,1663.853817303412,-43.351131756536915,0.9739453482597434,5121.954481612409,4353.816138408905,4737.885310010657,260.0352123544071,-3.3134765625,2.25274658203125,-22.4461669921875,3.3134765625,2.25274658203125,22.4461669921875,-0.00969340724925375,0.002792787134822406,-0.013662121591611644,19.352783203125,0.08333333333333333,8.675374348958334,0.21666666666666667
