target_index,benchmark_subset,gt_d_H_nm,gt_d_L_nm,gt_N,gt_L_c_nm,target_peak_count,baseline_nominal_valid,baseline_robust_valid,baseline_yield_r60,baseline_mse,baseline_peak_shift_nm,baseline_missing_peaks,baseline_false_peaks,teacher_nominal_valid,teacher_robust_valid,teacher_yield_r60,teacher_mse,teacher_peak_shift_nm,teacher_missing_peaks,teacher_false_peaks,hybrid_final_source,hybrid_fallback_used,hybrid_d_H_nm,hybrid_d_L_nm,hybrid_N,hybrid_L_c_nm,hybrid_nominal_valid,hybrid_robust_valid,hybrid_yield_r60,hybrid_mse,hybrid_peak_shift_nm,hybrid_missing_peaks,hybrid_false_peaks,hybrid_robustness_mse_mean,hybrid_robustness_peak_shift_mean_nm,hybrid_robustness_missing_peak_mean,hybrid_robustness_false_peak_mean
52713,strategy_1_2_engineering_use_case,274.51837158203125,770.1533203125,6,3317.841064453125,2,True,True,0.9666666666666667,1.5105282837683293e-05,2.001953125,0.0,0.0,False,False,0.0,0.0006542522339786426,33.0330810546875,0.0,0.0,fallback_residual_refine,True,299.3435974121094,709.3055419921875,6.0,3219.279541015625,True,True,0.6,0.0011475691075755277,16.0159912109375,0.0,0.0,0.0010746479384744286,17.83454793294271,0.18333333333333332,0.15
20814,strategy_1_2_engineering_use_case,227.00930786132812,580.3146362304688,2,1259.298828125,1,True,True,0.8,1.7742114294103096e-05,0.0,0.0,0.0,False,False,0.3,0.002737062658281776,26.02587890625,0.0,0.0,fallback_residual_refine,True,190.98556518554688,672.0098876953125,3.0,1258.8067626953125,True,True,0.6833333333333333,0.006280950641786723,12.01171875,0.0,0.0,0.0066834253025177615,15.778477555614407,0.016666666666666666,0.016666666666666666
71950,strategy_1_2_engineering_use_case,300.158203125,676.3807373046875,10,3082.8486328125,1,True,True,0.8666666666666667,0.00016777749833149426,0.0,0.0,0.0,True,True,0.6333333333333333,0.00011163984013461373,18.01806640625,0.0,0.0,primary,False,295.9936828613281,700.2827758789062,10.0,2959.025146484375,True,True,0.6333333333333333,0.00011163984013461373,18.01806640625,0.0,0.0,0.0001591462780557943,15.454054447642545,0.05,0.11666666666666667
51988,strategy_1_2_engineering_use_case,345.37042236328125,868.2168579101562,7,1881.033203125,4,True,True,0.8166666666666667,0.0008106640030130633,5.505615234375,0.0,0.0,True,True,0.8333333333333334,0.0011854470331518416,7.507568359375,0.0,0.0,primary,False,333.373779296875,899.4751586914062,7.0,1913.2548828125,True,True,0.8333333333333334,0.0011854470331518416,7.507568359375,0.0,0.0,0.0033399503601607415,13.263318888346355,0.0,0.08333333333333333
37893,strategy_1_2_engineering_use_case,284.422607421875,847.9026489257812,8,3194.453369140625,3,True,False,0.08333333333333333,0.00043661220152260705,16.683430989583332,0.0,0.0,True,False,0.06666666666666667,0.00037368011199034906,17.350748697916668,0.0,0.0,primary,False,284.18212890625,839.913818359375,8.0,3201.994873046875,True,False,0.06666666666666667,0.00037368011199034906,17.350748697916668,0.0,0.0,0.0005212461414782783,20.02004869249132,0.85,0.08333333333333333
12613,strategy_1_2_engineering_use_case,307.8413391113281,894.1946411132812,9,1683.623779296875,5,True,True,0.7833333333333333,0.00031618504366129807,4.40439453125,0.0,0.0,True,True,0.8,0.00023223630946900587,3.203173828125,0.0,0.0,primary,False,293.498779296875,929.259765625,9.0,1676.3253173828125,True,True,0.8,0.00023223630946900587,3.203173828125,0.0,0.0,0.0008798148571725317,8.256573079427083,0.16666666666666666,0.016666666666666666
60910,strategy_1_2_engineering_use_case,287.5957946777344,782.7487182617188,10,4601.9541015625,3,False,False,0.0,0.0007036086141952145,1.0009765625,1.0,1.0,False,False,0.0,0.0007209412723613217,2.002197265625,2.0,2.0,primary,False,278.5863037109375,844.5678100585938,10.0,4361.2421875,False,False,0.0,0.0007209412723613217,2.002197265625,2.0,2.0,0.000675010889736544,7.907883707682291,1.55,1.8166666666666667
188,strategy_1_2_engineering_use_case,266.3987731933594,777.74169921875,10,3191.61572265625,1,False,False,0.05,0.00030824220718296915,34.0341796875,0.0,0.0,False,False,0.05,7.669227351315199e-05,32.031982421875,0.0,1.0,fallback_residual_refine,True,277.6430358886719,717.0765991210938,8.0,1434.1531982421875,True,False,0.21666666666666667,0.000221345735280534,0.0,0.0,0.0,0.0002726171829725928,9.867047991071429,0.7666666666666667,0.0
92705,strategy_1_2_engineering_use_case,266.0160217285156,771.98583984375,4,1257.991943359375,1,False,False,0.0,0.0009909715973330522,,1.0,1.0,False,False,0.0,0.0002994752737906597,,1.0,1.0,fallback_residual_refine,True,265.22259521484375,723.8723754882812,3.0,1380.7615966796875,True,True,0.8666666666666667,0.004375752631548673,6.005859375,0.0,0.0,0.004392334414778689,11.578190104166667,0.0,0.0
68828,strategy_1_2_engineering_use_case,223.86817932128906,783.0233154296875,2,3293.04296875,2,False,False,0.0,0.0009663329334157233,2.001953125,1.0,0.0,False,False,0.0,0.0011008907048487373,0.0,1.0,0.0,primary,False,271.5321960449219,713.9879760742188,2.0,3272.067138671875,False,False,0.0,0.0011008907048487373,0.0,1.0,0.0,0.0012717576027195027,5.004988606770834,1.0,0.26666666666666666
